,,,,,Recommended N (kg/ha),Recommended N (kg/ha),Recommended P2O5 (kg/ha),Recommended P2O5 (kg/ha),Recommended K2O (kg/ha),Recommended K2O (kg/ha)
,,,,,min,max,min,max,min,max
Location_Region,cluster,Growing season,RCM Harvesting Method,yield,,,,,,
ARMM,1,Dry season,Combined,"(0, 2]",57.0,70.0,12.0,14.0,12.0,14.0
ARMM,1,Dry season,Combined,"(2, 4]",57.0,77.0,12.0,22.0,12.0,22.0
ARMM,1,Dry season,Combined,"(4, 6]",95.0,118.0,24.0,29.0,24.0,29.0
ARMM,1,Dry season,Manual,"(0, 2]",44.0,57.0,15.0,17.0,15.0,17.0
ARMM,1,Dry season,Manual,"(2, 4]",57.0,84.0,15.0,22.0,15.0,22.0
ARMM,1,Dry season,Manual,"(4, 6]",74.0,120.0,19.0,34.0,19.0,34.0
ARMM,1,Dry season,Reaper,"(4, 6]",88.0,88.0,23.0,23.0,23.0,23.0
ARMM,1,Wet season,Combined,"(0, 2]",44.0,70.0,12.0,15.0,12.0,15.0
ARMM,1,Wet season,Combined,"(2, 4]",54.0,80.0,12.0,19.0,12.0,19.0
ARMM,1,Wet season,Combined,"(4, 6]",80.0,113.0,17.0,29.0,17.0,29.0
ARMM,1,Wet season,Combined,"(6, 8]",126.0,126.0,31.0,31.0,31.0,31.0
ARMM,1,Wet season,Manual,"(0, 2]",43.0,70.0,15.0,18.0,15.0,18.0
ARMM,1,Wet season,Manual,"(2, 4]",54.0,80.0,15.0,21.0,15.0,27.0
ARMM,1,Wet season,Manual,"(4, 6]",72.0,100.0,19.0,29.0,19.0,44.0
ARMM,2,Dry season,Combined,"(0, 2]",43.0,44.0,13.0,15.0,13.0,15.0
ARMM,2,Dry season,Combined,"(2, 4]",43.0,82.0,13.0,24.0,13.0,36.0
ARMM,2,Dry season,Combined,"(4, 6]",80.0,124.0,22.0,33.0,22.0,54.0
ARMM,2,Dry season,Combined,"(6, 8]",133.0,146.0,35.0,38.0,61.0,77.0
ARMM,2,Dry season,Combined,"(8, 10]",137.0,137.0,36.0,36.0,62.0,62.0
ARMM,2,Dry season,Manual,"(0, 2]",30.0,46.0,10.0,17.0,0.0,17.0
ARMM,2,Dry season,Manual,"(2, 4]",30.0,82.0,10.0,26.0,0.0,52.0
ARMM,2,Dry season,Manual,"(4, 6]",72.0,126.0,24.0,37.0,41.0,79.0
ARMM,2,Dry season,Manual,"(6, 8]",116.0,148.0,33.0,42.0,66.0,93.0
ARMM,2,Dry season,Manual,"(8, 10]",143.0,143.0,41.0,41.0,90.0,90.0
